This is the node file of route1
1500	1	1
1	519257.2768868	4567681.3168768
2	519302.9878030	4567701.5779760
3	519346.6251284	4567725.9783134
4	519391.7050996	4567747.5519082
5	519433.9227123	4567774.2767412
6	519472.8545339	4567805.6458938
7	519513.0110314	4567835.3745469
8	519555.3158845	4567862.0259897
9	519597.7268782	4567888.5061442
10	519640.5963866	4567914.2364922
11	519685.5284446	4567935.8689313
12	519733.5737079	4567949.5856095
13	519782.5391041	4567959.7004305
14	519831.1946355	4567971.1928646
15	519879.7627314	4567983.0731029
16	519928.3308273	4567994.9533411
17	519976.9485524	4568006.6242042
18	520025.5653670	4568018.3003097
19	520074.0913365	4568030.3498837
20	520121.9135784	4568044.9003941
21	520169.6843604	4568059.5919548
22	520218.2978010	4568071.2289071
23	520266.4731825	4568084.4883949
24	520313.5828231	4568101.2217190
25	520361.0529566	4568116.8306469
26	520409.6095073	4568128.7579845
27	520458.1660581	4568140.6853220
28	520506.3244720	4568154.1145429
29	520553.4746418	4568170.7293775
30	520599.5533702	4568190.0839997
31	520643.2923130	4568214.2807471
32	520685.6730807	4568240.8042589
33	520730.2285153	4568263.2982422
34	520776.8798790	4568281.2863733
35	520823.9507375	4568298.1374073
36	520871.1543687	4568314.6242870
37	520918.4626394	4568330.8071435
38	520965.8884902	4568346.6206246
39	521014.0867744	4568359.8786299
40	521062.6060229	4568371.9568136
41	521111.1252714	4568384.0349974
42	521159.6445199	4568396.1131812
43	521208.1637685	4568408.1913649
44	521256.6830170	4568420.2695487
45	521305.2022655	4568432.3477324
46	521353.7215140	4568444.4259162
47	521402.2407625	4568456.5041000
48	521450.9378291	4568467.8024949
49	521500.3647129	4568475.2356434
50	521549.9791334	4568481.4279497
51	521599.7961935	4568485.1764320
52	521649.6103697	4568488.9709965
53	521698.9588893	4568496.8946701
54	521746.5751749	4568511.8483152
55	521793.0811547	4568530.1481822
56	521842.0229583	4568540.0499198
57	521891.6098091	4568546.3961831
58	521940.7725703	4568555.4750057
59	521989.1885741	4568567.6615946
60	522034.6109493	4568588.3492642
61	522075.3314246	4568617.2810605
62	522113.9839678	4568648.9949936
63	522152.5459925	4568680.8221872
64	522192.3701719	4568710.9824101
65	522234.2938555	4568738.0713655
66	522270.9583903	4568772.0666668
67	522300.9241529	4568812.0673191
68	522330.3020688	4568852.5256299
69	522359.6453724	4568893.0095389
70	522388.9102968	4568933.5504342
71	522417.8582086	4568974.3132552
72	522445.9363890	4569015.6849337
73	522473.9824778	4569057.0783545
74	522501.9940639	4569098.4951512
75	522529.9447491	4569139.9530361
76	522557.8619384	4569181.4335200
77	522585.7791277	4569222.9140039
78	522613.6963170	4569264.3944878
79	522641.6135063	4569305.8749716
80	522669.5306956	4569347.3554555
81	522697.4478849	4569388.8359394
82	522725.3650742	4569430.3164232
83	522753.2822634	4569471.7969071
84	522781.1994527	4569513.2773910
85	522809.1166420	4569554.7578748
86	522837.0338313	4569596.2383587
87	522864.9510206	4569637.7188426
88	522892.8682099	4569679.1993264
89	522920.7853992	4569720.6798103
90	522948.7025885	4569762.1602942
91	522976.6197778	4569803.6407781
92	523004.5369671	4569845.1212619
93	523032.4541564	4569886.6017458
94	523060.3713457	4569928.0822297
95	523088.2885350	4569969.5627135
96	523116.2057242	4570011.0431974
97	523144.1229135	4570052.5236813
98	523172.0401028	4570094.0041651
99	523200.0471469	4570135.4237940
100	523228.2054668	4570176.7409698
101	523256.3637867	4570218.0581457
102	523284.5221066	4570259.3753215
103	523312.6804265	4570300.6924974
104	523340.8387464	4570342.0096733
105	523368.9970663	4570383.3268491
106	523397.1553862	4570424.6440250
107	523425.3137061	4570465.9612008
108	523453.5380611	4570507.2284963
109	523485.4662978	4570545.6989392
110	523514.0393306	4570586.7304120
111	523542.5996764	4570627.7600837
112	523574.5703961	4570666.1886113
113	523604.7884517	4570706.0148355
114	523637.9669006	4570743.3733139
115	523674.6880116	4570777.3020389
116	523712.4553958	4570810.0611386
117	523748.6545624	4570844.4679598
118	523784.6822314	4570879.0537935
119	523822.2401325	4570912.0571931
120	523859.9952617	4570944.8361958
121	523897.6388444	4570977.7430509
122	523936.0720444	4571009.7211201
123	523974.1989840	4571042.0627583
124	524011.9554356	4571074.8406170
125	524049.4474723	4571107.9215358
126	524087.2806824	4571140.6112572
127	524125.1522838	4571173.2569585
128	524163.0238851	4571205.9026598
129	524200.8956432	4571238.5481792
130	524238.7675865	4571271.1934838
131	524276.3629032	4571304.1559139
132	524313.8483097	4571337.2443454
133	524351.3337162	4571370.3327769
134	524388.8838143	4571403.3476934
135	524426.5891515	4571436.1850705
136	524464.3462847	4571468.9630950
137	524502.1034180	4571501.7411194
138	524539.9263560	4571534.4418976
139	524578.0792179	4571566.7556394
140	524615.8059807	4571599.5683352
141	524653.0246160	4571632.9212381
142	524687.3155790	4571669.3058806
143	524724.9799951	4571702.1903676
144	524761.0986773	4571736.6929434
145	524793.1052697	4571775.0360330
146	524820.0971830	4571817.0649585
147	524843.3121305	4571861.3030119
148	524861.9637763	4571907.6684335
149	524877.6919446	4571955.1110505
150	524888.0691823	4572003.9969555
151	524893.6537411	4572053.6476206
152	524897.4928685	4572103.4786560
153	524900.2243446	4572153.4039906
154	524902.0282865	4572203.3659463
155	524903.3990717	4572253.3471523
156	524904.7698569	4572303.3283582
157	524908.8459161	4572353.1328811
158	524916.9232065	4572402.4666647
159	524927.2402675	4572451.3685364
160	524941.7550191	4572499.1932309
161	524959.8979810	4572545.7364471
162	524981.3743540	4572590.8688283
163	525006.0782765	4572634.3179051
164	525033.8013344	4572675.9110724
165	525065.1997817	4572714.7776995
166	525099.5237551	4572751.1107722
167	525136.0199040	4572785.2652262
168	525173.2180116	4572818.6762765
169	525211.1386630	4572851.2615238
170	525249.2001946	4572883.6855860
171	525287.4486105	4572915.8884376
172	525325.7427661	4572948.0373326
173	525363.9575569	4572980.2806227
174	525402.1723477	4573012.5239129
175	525440.5389388	4573044.5860110
176	525478.9776901	4573076.5619769
177	525517.4164414	4573108.5379429
178	525555.6779261	4573140.7215190
179	525592.3172761	4573174.7202088
180	525625.1004598	4573212.4376899
181	525654.4432148	4573252.8883473
182	525681.0774067	4573295.1841210
183	525706.3002094	4573338.3557841
184	525730.3587313	4573382.1836344
185	525754.2074398	4573426.1295000
186	525778.0561482	4573470.0753656
187	525801.9048567	4573514.0212313
188	525825.7535652	4573557.9670969
189	525849.6022736	4573601.9129625
190	525873.4509821	4573645.8588281
191	525897.2996906	4573689.8046937
192	525921.1483990	4573733.7505593
193	525944.9971075	4573777.6964249
194	525968.8458160	4573821.6422905
195	525992.6945244	4573865.5881562
196	526016.5432329	4573909.5340218
197	526040.3919414	4573953.4798874
198	526063.3837709	4573997.8797001
199	526085.1350340	4574042.8875609
200	526104.7133051	4574088.8744540
201	526118.8830229	4574136.8147981
202	526131.8830613	4574185.0952186
203	526144.5935683	4574233.4473631
204	526159.9494140	4574281.0309527
205	526176.7144087	4574328.1348230
206	526193.5813817	4574375.2039766
207	526208.2991238	4574422.9526896
208	526219.9580106	4574471.5742031
209	526231.5964201	4574520.2008154
210	526243.1876030	4574568.8386554
211	526254.6785519	4574617.5003250
212	526265.8949186	4574666.2236877
213	526276.3241360	4574715.1239068
214	526286.7528427	4574764.0242346
215	526297.6722516	4574812.8162875
216	526308.7822539	4574861.5663423
217	526319.8922562	4574910.3163972
218	526331.0216586	4574959.0619294
219	526342.6149899	4575007.6993088
220	526354.2083212	4575056.3366881
221	526365.5685542	4575105.0278217
222	526376.4456100	4575153.8303796
223	526388.0517119	4575202.4497096
224	526403.7477077	4575249.8635040
225	526423.4847941	4575295.7894691
226	526448.4157693	4575339.1024501
227	526476.0255360	4575380.7859185
228	526503.9693838	4575422.2484482
229	526532.5626641	4575463.2358263
230	526564.9298906	4575501.3209511
231	526600.5511592	4575536.3361082
232	526638.8595625	4575568.4606128
233	526677.7538747	4575599.8807574
234	526713.3586689	4575634.8710477
235	526738.2418791	4575677.9277580
236	526753.9201733	4575725.3459580
237	526767.3071444	4575773.5205260
238	526780.6941156	4575821.6950940
239	526794.0810868	4575869.8696620
240	526807.4821329	4575918.0401862
241	526821.7076306	4575965.9738405
242	526835.1957874	4576014.1168362
243	526845.8067485	4576062.9572641
244	526853.2292472	4576112.3981756
245	526860.4548385	4576161.8573341
246	526865.6954269	4576211.5693813
247	526874.8527788	4576260.6980827
248	526880.4677602	4576310.3790546
249	526885.7158596	4576360.1028664
250	526890.9639590	4576409.8266781
251	526899.1551809	4576459.1237481
252	526912.9233328	4576507.1027652
253	526933.7181131	4576552.4895446
254	526961.5415217	4576594.0120176
255	526992.0381356	4576633.6128507
256	527020.3963743	4576674.7613111
257	527051.5647120	4576713.8061666
258	527083.5119152	4576752.2688264
259	527115.4591185	4576790.7314863
260	527147.0365892	4576829.4980576
261	527178.5877532	4576868.2862523
262	527210.1389172	4576907.0744469
263	527241.6900813	4576945.8626416
264	527273.2412453	4576984.6508363
265	527304.7924094	4577023.4390310
266	527336.3435734	4577062.2272257
267	527368.1115312	4577100.8366562
268	527400.1689125	4577139.2070251
269	527431.7691393	4577177.9549074
270	527463.5036201	4577216.5932656
271	527495.2381010	4577255.2316238
272	527526.9725818	4577293.8699820
273	527558.7070627	4577332.5083402
274	527590.4415435	4577371.1466985
275	527622.1760244	4577409.7850567
276	527653.9105052	4577448.4234149
277	527685.6449861	4577487.0617731
278	527717.3794669	4577525.7001313
279	527749.1139478	4577564.3384895
280	527780.8484286	4577602.9768477
281	527812.5829095	4577641.6152059
282	527844.3173903	4577680.2535642
283	527876.0518712	4577718.8919224
284	527907.8680623	4577757.4618525
285	527939.7814218	4577795.9519481
286	527971.6357797	4577834.4915366
287	528003.4901377	4577873.0311250
288	528035.9165704	4577911.0815777
289	528070.8019052	4577946.8528888
290	528108.6522753	4577979.5172041
291	528148.6681818	4578009.4375859
292	528190.6348117	4578036.6184763
293	528232.6203167	4578063.7702234
294	528274.8617082	4578090.5198294
295	528317.2421057	4578117.0509792
296	528359.6118742	4578143.5990681
297	528401.9366380	4578170.2188798
298	528444.3106688	4578196.7601636
299	528486.6947842	4578223.2853736
300	528529.2898410	4578249.4544209
301	528573.0601032	4578273.6179962
302	528618.6109949	4578294.0229025
303	528666.0148004	4578309.8435210
304	528714.0595886	4578323.6890376
305	528762.9643343	4578334.0070424
306	528812.7843511	4578337.8662019
307	528862.7619702	4578339.0042528
308	528912.5475707	4578334.7404481
309	528961.8726560	4578326.6192130
310	529010.4043428	4578314.6865435
311	529057.9296605	4578299.1761482
312	529104.4903170	4578281.0000999
313	529150.7023663	4578261.9096179
314	529196.9144156	4578242.8191359
315	529243.7670429	4578225.4293291
316	529291.4089225	4578210.2955950
317	529339.8568977	4578198.0108111
318	529389.0075564	4578188.8562624
319	529438.8580849	4578184.9929973
320	529488.8335627	4578185.8788813
321	529538.6926648	4578189.5252562
322	529588.0803888	4578197.2100823
323	529636.4344865	4578209.4585206
324	529683.7769673	4578225.5075842
325	529729.6325200	4578245.4278922
326	529773.8105126	4578268.7317848
327	529815.7450898	4578295.9615596
328	529854.8353014	4578327.0955771
329	529892.4204520	4578360.0257207
330	529925.3696619	4578397.6183533
331	529955.5801167	4578437.4154684
332	529982.3571619	4578479.5853960
333	530007.6980479	4578522.6880583
334	530033.0389338	4578565.7907206
335	530058.3798198	4578608.8933829
336	530083.7207058	4578651.9960452
337	530109.2074388	4578695.0124823
338	530135.0949298	4578737.7885029
339	530161.0911350	4578780.4991258
340	530187.0873402	4578823.2097488
341	530213.0835455	4578865.9203718
342	530239.5688798	4578908.3225027
343	530268.3983541	4578949.1318706
344	530302.6038674	4578985.4640080
345	530342.3171567	4579015.7180793
346	530386.6856082	4579038.6328053
347	530434.1603320	4579053.9621647
348	530483.5542586	4579060.9008252
349	530533.4987303	4579059.1175969
350	530582.9925972	4579052.0741616
351	530632.3479788	4579044.0712683
352	530681.6389618	4579035.6824575
353	530730.9389488	4579027.3451151
354	530780.2389358	4579019.0077728
355	530829.5389229	4579010.6704304
356	530878.8389099	4579002.3330881
357	530928.1388970	4578993.9957458
358	530977.4388840	4578985.6584034
359	531026.7388711	4578977.3210611
360	531076.0388581	4578968.9837187
361	531125.3388452	4578960.6463764
362	531174.5312082	4578951.7175299
363	531223.6083058	4578942.1551825
364	531273.0064153	4578934.4443892
365	531322.7068185	4578929.8307170
366	531372.6768858	4578928.3653000
367	531422.5523721	4578931.5357111
368	531471.8356310	4578939.6137603
369	531520.3701864	4578951.6101067
370	531568.0168716	4578966.6207853
371	531613.8926505	4578986.4245327
372	531659.3715633	4579007.2011660
373	531704.8504760	4579027.9777994
374	531750.3293888	4579048.7544327
375	531795.8083016	4579069.5310660
376	531841.2872144	4579090.3076994
377	531886.7661271	4579111.0843327
378	531932.2450399	4579131.8609661
379	531977.7239527	4579152.6375994
380	532023.1338607	4579173.5645450
381	532068.5356889	4579194.5090906
382	532113.9375172	4579215.4536363
383	532158.6378420	4579237.8283066
384	532201.6000780	4579263.2199269
385	532246.0874890	4579285.8877338
