This is the node file of route1
1500	1	1
1	519257.2768868	4567681.3168768	1	0	ND
2	519302.9878030	4567701.5779760	0	0	ND
3	519346.6251284	4567725.9783134	0	0	ND
4	519391.7050996	4567747.5519082	0	0	ND
5	519433.9227123	4567774.2767412	0	0	ND
6	519472.8545339	4567805.6458938	0	0	ND
7	519513.0110314	4567835.3745469	0	0	ND
8	519555.3158845	4567862.0259897	0	0	ND
9	519597.7268782	4567888.5061442	0	0	ND
10	519640.5963866	4567914.2364922	0	0	ND
11	519685.5284446	4567935.8689313	0	0	ND
12	519733.5737079	4567949.5856095	0	0	ND
13	519782.5391041	4567959.7004305	0	0	ND
14	519831.1946355	4567971.1928646	0	0	ND
15	519879.7627314	4567983.0731029	0	0	ND
16	519928.3308273	4567994.9533411	0	0	ND
17	519976.9485524	4568006.6242042	0	0	ND
18	520025.5653670	4568018.3003097	0	0	ND
19	520074.0913365	4568030.3498837	0	0	ND
20	520121.9135784	4568044.9003941	0	0	ND
21	520169.6843604	4568059.5919548	0	0	ND
22	520218.2978010	4568071.2289071	0	0	ND
23	520266.4731825	4568084.4883949	0	0	ND
24	520313.5828231	4568101.2217190	0	0	ND
25	520361.0529566	4568116.8306469	0	0	ND
26	520409.6095073	4568128.7579845	0	0	ND
27	520458.1660581	4568140.6853220	0	0	ND
28	520506.3244720	4568154.1145429	0	0	ND
29	520553.4746418	4568170.7293775	0	0	ND
30	520599.5533702	4568190.0839997	0	0	ND
31	520643.2923130	4568214.2807471	0	0	ND
32	520685.6730807	4568240.8042589	0	0	ND
33	520730.2285153	4568263.2982422	0	0	ND
34	520776.8798790	4568281.2863733	0	0	ND
35	520823.9507375	4568298.1374073	0	0	ND
36	520871.1543687	4568314.6242870	0	0	ND
37	520918.4626394	4568330.8071435	0	0	ND
38	520965.8884902	4568346.6206246	0	0	ND
39	521014.0867744	4568359.8786299	0	0	ND
40	521062.6060229	4568371.9568136	0	0	ND
41	521111.1252714	4568384.0349974	0	0	ND
42	521159.6445199	4568396.1131812	0	0	ND
43	521208.1637685	4568408.1913649	0	0	ND
44	521256.6830170	4568420.2695487	0	0	ND
45	521305.2022655	4568432.3477324	0	0	ND
46	521353.7215140	4568444.4259162	0	0	ND
47	521402.2407625	4568456.5041000	0	0	ND
48	521450.9378291	4568467.8024949	0	0	ND
49	521500.3647129	4568475.2356434	0	0	ND
50	521549.9791334	4568481.4279497	0	0	ND
51	521599.7961935	4568485.1764320	0	0	ND
52	521649.6103697	4568488.9709965	0	0	ND
53	521698.9588893	4568496.8946701	0	0	ND
54	521746.5751749	4568511.8483152	0	0	ND
55	521793.0811547	4568530.1481822	0	0	ND
56	521842.0229583	4568540.0499198	0	0	ND
57	521891.6098091	4568546.3961831	0	0	ND
58	521940.7725703	4568555.4750057	0	0	ND
59	521989.1885741	4568567.6615946	0	0	ND
60	522034.6109493	4568588.3492642	0	0	ND
61	522075.3314246	4568617.2810605	0	0	ND
62	522113.9839678	4568648.9949936	1	0	ND
63	522152.5459925	4568680.8221872	0	0	ND
64	522192.3701719	4568710.9824101	0	0	ND
65	522234.2938555	4568738.0713655	0	0	ND
66	522270.9583903	4568772.0666668	0	0	ND
67	522300.9241529	4568812.0673191	0	0	ND
68	522330.3020688	4568852.5256299	0	0	ND
69	522359.6453724	4568893.0095389	0	0	ND
70	522388.9102968	4568933.5504342	0	0	ND
71	522417.8582086	4568974.3132552	0	0	ND
72	522445.9363890	4569015.6849337	0	0	ND
73	522473.9824778	4569057.0783545	0	0	ND
74	522501.9940639	4569098.4951512	0	0	ND
75	522529.9447491	4569139.9530361	0	0	ND
76	522557.8619384	4569181.4335200	0	0	ND
77	522585.7791277	4569222.9140039	0	0	ND
78	522613.6963170	4569264.3944878	0	0	ND
79	522641.6135063	4569305.8749716	0	0	ND
80	522669.5306956	4569347.3554555	0	0	ND
81	522697.4478849	4569388.8359394	0	0	ND
82	522725.3650742	4569430.3164232	0	0	ND
83	522753.2822634	4569471.7969071	0	0	ND
84	522781.1994527	4569513.2773910	0	0	ND
85	522809.1166420	4569554.7578748	0	0	ND
